movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,gaze,blink,eye_offset,participant_id,elapsed_time,upload_time,distance
dfb0d746-609f-4dac-8e1d-c0325fb64394,0,0.986249,0.000105477,3.88284,0.1395,5.51132,0.108728,89.3713,neutral,1,0,-15.4688,deb4a835-b82f-4f3d-b2c4-77c66eca7752,1.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,1,2.08114,0.293596,7.37185,76.1906,1.52434,7.60248,4.93602,happy,1,0,4.3447,deb4a835-b82f-4f3d-b2c4-77c66eca7752,2.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,2,9.43836,0.460568,9.06742,71.4096,3.41275,5.92206,0.289199,happy,1,0,5.9378,deb4a835-b82f-4f3d-b2c4-77c66eca7752,3.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,3,4.37886,0.0223207,24.8388,14.1932,1.35788,31.4982,23.7107,surprise,1,0,-17.5304,deb4a835-b82f-4f3d-b2c4-77c66eca7752,4.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,4,0.00145164,1.46559e-07,0.936351,0.365306,0.00487206,95.9025,2.78952,surprise,1,0,13.5553,deb4a835-b82f-4f3d-b2c4-77c66eca7752,5.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,5,8.25436,2.94457,15.1081,55.082,0.280992,17.7718,0.558181,happy,1,0,7.2798,deb4a835-b82f-4f3d-b2c4-77c66eca7752,6.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,6,15.9246,0.0201818,39.6054,0.312699,2.6055,27.8922,13.6395,fear,1,0,16.0742,deb4a835-b82f-4f3d-b2c4-77c66eca7752,7.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,7,7.54069,0.125084,26.494,3.29691,0.632297,52.8373,9.0737,surprise,1,0,3.4461,deb4a835-b82f-4f3d-b2c4-77c66eca7752,8.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,8,1.77497,0.323618,1.9227,79.8591,1.47775,13.1352,1.50659,happy,1,0,1.9128,deb4a835-b82f-4f3d-b2c4-77c66eca7752,9.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,9,12.6211,0.992949,14.663,3.36767,27.5361,2.96627,37.853,neutral,1,0,-15.5742,deb4a835-b82f-4f3d-b2c4-77c66eca7752,10.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,10,46.5117,0.000420945,3.99173,0.0862138,6.22897,0.0623014,43.1187,angry,1,0,-2.7806,deb4a835-b82f-4f3d-b2c4-77c66eca7752,11.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,11,0.0816153,1.95631e-06,0.0348903,0.0388836,0.278402,0.0136868,99.5525,neutral,1,0,6.136,deb4a835-b82f-4f3d-b2c4-77c66eca7752,12.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,12,0.427945,0.000218676,9.06584,3.58806,0.886663,40.9472,45.0841,neutral,1,0,15.7143,deb4a835-b82f-4f3d-b2c4-77c66eca7752,13.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,13,9.50264,0.0152675,5.64498,45.7465,8.9382,9.67472,20.4777,happy,1,0,-9.4555,deb4a835-b82f-4f3d-b2c4-77c66eca7752,14.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,14,3.47902,0.0530758,11.4201,18.9055,2.2861,24.5751,39.2811,neutral,1,0,-6.3343,deb4a835-b82f-4f3d-b2c4-77c66eca7752,15.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,15,0.354622,0.00785875,4.14708,36.3395,0.319475,48.9547,9.87675,surprise,1,0,0.7447,deb4a835-b82f-4f3d-b2c4-77c66eca7752,16.0,2023-09-17 07:44:51,0.0
dfb0d746-609f-4dac-8e1d-c0325fb64394,16,3.59217,0.0101192,0.56347,91.781,2.26314,1.07289,0.717194,happy,1,0,13.2325,deb4a835-b82f-4f3d-b2c4-77c66eca7752,17.0,2023-09-17 07:44:51,0.0
